start_sample,end_sample,start_sec,end_sec,len_samples
60919893,60920038,1269.1644375,1269.1674583333333,145
60920373,60920518,1269.1744375,1269.1774583333333,145
60920631,60920777,1269.1798125,1269.1828541666666,146
60921227,60921372,1269.1922291666667,1269.19525,145
60921410,60921699,1269.1960416666666,1269.2020625,289
60921968,60922113,1269.2076666666667,1269.2106875,145
60956446,60956671,1269.9259583333333,1269.9306458333333,225
60959547,60959692,1269.9905625,1269.9935833333334,145
60997897,60998042,1270.7895208333334,1270.7925416666667,145
61042301,61042446,1271.7146041666667,1271.717625,145
61048046,61048191,1271.8342916666666,1271.8373125,145
61078534,61078882,1272.4694583333333,1272.4767083333334,348
61142456,61142601,1273.8011666666666,1273.8041875,145
61146968,61147266,1273.8951666666667,1273.901375,298
61147571,61147817,1273.9077291666667,1273.9128541666666,246
61149289,61149653,1273.9435208333334,1273.9511041666667,364
61175602,61175839,1274.4917083333332,1274.4966458333333,237
61180530,61180676,1274.594375,1274.5974166666667,146
61191906,61192210,1274.831375,1274.8377083333332,304
61192404,61192657,1274.84175,1274.8470208333333,253
61205515,61205761,1275.1148958333333,1275.1200208333332,246
61210345,61210693,1275.2155208333334,1275.2227708333332,348
61210737,61211034,1275.2236875,1275.229875,297
61223727,61223872,1275.4943125,1275.4973333333332,145
61224086,61224438,1275.5017916666666,1275.509125,352
61243007,61243152,1275.8959791666666,1275.899,145
61244228,61244373,1275.9214166666666,1275.9244375,145
61244558,61244703,1275.9282916666666,1275.9313125,145
61263095,61263241,1276.3144791666666,1276.3175208333334,146
61263279,61263424,1276.3183125,1276.3213333333333,145
61265785,61266168,1276.3705208333333,1276.3785,383
61266376,61266582,1276.3828333333333,1276.387125,206
61266615,61266760,1276.3878125,1276.3908333333334,145
61266859,61267004,1276.3928958333333,1276.3959166666666,145
61274412,61274557,1276.55025,1276.5532708333333,145
61274731,61274877,1276.5568958333333,1276.5599375,146
61275018,61275163,1276.562875,1276.5658958333333,145
61285465,61285610,1276.7805208333334,1276.7835416666667,145
61285874,61286019,1276.7890416666667,1276.7920625,145
61305478,61305829,1277.1974583333333,1277.2047708333334,351
61305889,61306034,1277.2060208333332,1277.2090416666667,145
61306101,61306246,1277.2104375,1277.2134583333334,145
61306313,61306458,1277.2148541666666,1277.217875,145
61325562,61325727,1277.615875,1277.6193125,165
61325893,61326038,1277.6227708333333,1277.6257916666666,145
61346143,61346288,1278.0446458333333,1278.0476666666666,145
61357482,61357627,1278.280875,1278.2838958333334,145
61370197,61370342,1278.5457708333333,1278.5487916666666,145
61380457,61380602,1278.7595208333332,1278.7625416666667,145
61380630,61380977,1278.763125,1278.7703541666667,347
61381035,61381180,1278.7715625,1278.7745833333333,145
61429330,61429476,1279.7777083333333,1279.78075,146
61448777,61448922,1280.1828541666666,1280.185875,145
61449429,61449780,1280.1964375,1280.20375,351
61452921,61453066,1280.2691875,1280.2722083333333,145
61453335,61453687,1280.2778125,1280.2851458333334,352
61453905,61454050,1280.2896875,1280.2927083333334,145
61454268,61454518,1280.29725,1280.3024583333333,250
61454632,61454777,1280.3048333333334,1280.3078541666666,145
61608265,61608410,1283.5055208333333,1283.5085416666666,145
61652512,61652657,1284.4273333333333,1284.4303541666666,145
61654259,61654406,1284.4637291666666,1284.4667916666667,147
61807319,61807464,1287.6524791666666,1287.6555,145
61807547,61807864,1287.6572291666666,1287.6638333333333,317
61807889,61808092,1287.6643541666667,1287.6685833333333,203
61808572,61808861,1287.6785833333333,1287.6846041666668,289
61809058,61809375,1287.6887083333334,1287.6953125,317
61809515,61809832,1287.6982291666666,1287.7048333333332,317
61809916,61810176,1287.7065833333334,1287.712,260
61810261,61810406,1287.7137708333332,1287.7167916666667,145
61811522,61811667,1287.7400416666667,1287.7430625,145
62063426,62063571,1292.9880416666667,1292.9910625,145
62225905,62226122,1296.3730208333334,1296.3775416666667,217
62265045,62265192,1297.1884375,1297.1915,147
62279933,62280078,1297.4986041666666,1297.501625,145
62304736,62304940,1298.0153333333333,1298.0195833333332,204
62306512,62306858,1298.0523333333333,1298.0595416666667,346
62306943,62307112,1298.0613125,1298.0648333333334,169
62319148,62319293,1298.3155833333333,1298.3186041666668,145
62403925,62404070,1300.0817708333334,1300.0847916666667,145
62404989,62405141,1300.1039375,1300.1071041666667,152
62411410,62411606,1300.2377083333333,1300.2417916666666,196
62421946,62422194,1300.4572083333333,1300.462375,248
62422233,62422429,1300.4631875,1300.4672708333333,196
62423387,62423532,1300.4872291666666,1300.49025,145
62423840,62424086,1300.4966666666667,1300.5017916666666,246
62432107,62432252,1300.6688958333334,1300.6719166666667,145
62432585,62432888,1300.6788541666667,1300.6851666666666,303
62437786,62437932,1300.7872083333334,1300.79025,146
62437958,62438103,1300.7907916666666,1300.7938125,145
62438644,62438789,1300.8050833333334,1300.8081041666667,145
62439045,62439190,1300.8134375,1300.8164583333332,145
62439274,62439534,1300.8182083333334,1300.823625,260
62440117,62440359,1300.8357708333333,1300.8408125,242
62440876,62441022,1300.8515833333333,1300.854625,146
62441057,62441202,1300.8553541666668,1300.858375,145
62442263,62442408,1300.8804791666666,1300.8835,145
62443256,62443401,1300.9011666666668,1300.9041875,145
62444065,62444311,1300.9180208333332,1300.9231458333334,246
62444368,62444513,1300.9243333333334,1300.9273541666666,145
62444626,62444822,1300.9297083333333,1300.9337916666666,196
62444871,62445124,1300.9348125,1300.9400833333334,253
62445173,62445419,1300.9411041666667,1300.9462291666666,246
62445576,62445721,1300.9495,1300.9525208333334,145
62578771,62579017,1303.7243958333333,1303.7295208333333,246
62581035,62581333,1303.7715625,1303.7777708333333,298
62581429,62581676,1303.7797708333333,1303.7849166666667,247
62581788,62582088,1303.78725,1303.7935,300
62582254,62582451,1303.7969583333334,1303.8010625,197
62582510,62582815,1303.8022916666666,1303.8086458333332,305
62583602,62583902,1303.8250416666667,1303.8312916666666,300
62584386,62584683,1303.841375,1303.8475625,297
62584790,62584985,1303.8497916666668,1303.8538541666667,195
62591139,62591385,1303.9820625,1303.9871875,246
62592240,62592385,1304.005,1304.0080208333334,145
62616287,62616432,1304.5059791666667,1304.509,145
62656181,62656328,1305.3371041666667,1305.3401666666666,147
62666505,62666804,1305.5521875,1305.5584166666667,299
62667019,62667164,1305.5628958333334,1305.5659166666667,145
62667586,62667759,1305.5747083333333,1305.5783125,173
62667871,62668119,1305.5806458333334,1305.5858125,248
62668486,62668631,1305.5934583333333,1305.5964791666668,145
62686276,62686585,1305.9640833333333,1305.9705208333332,309
62687205,62687350,1305.9834375,1305.9864583333333,145
62687949,62688094,1305.9989375,1306.0019583333333,145
62744707,62744852,1307.1813958333332,1307.1844166666667,145
62745074,62745220,1307.1890416666668,1307.1920833333334,146
62747122,62747267,1307.2317083333332,1307.2347291666667,145
62747301,62747568,1307.2354375,1307.241,267
62747903,62748048,1307.2479791666667,1307.251,145
62748142,62748288,1307.2529583333333,1307.256,146
62748382,62748647,1307.2579583333334,1307.2634791666667,265
62748742,62749007,1307.2654583333333,1307.2709791666666,265
62777935,62778131,1307.8736458333333,1307.8777291666668,196
62780917,62781213,1307.9357708333334,1307.9419375,296
62781513,62781658,1307.9481875,1307.9512083333334,145
62781716,62781861,1307.9524166666667,1307.9554375,145
62806832,62806977,1308.4756666666667,1308.4786875,145
62821815,62821960,1308.7878125,1308.7908333333332,145
62860429,62860574,1309.5922708333333,1309.5952916666668,145
62860722,62860867,1309.598375,1309.6013958333333,145
62860957,62861103,1309.6032708333332,1309.6063125,146
62959886,62960032,1311.6642916666667,1311.6673333333333,146
62971187,62971332,1311.8997291666667,1311.90275,145
62976116,62976261,1312.0024166666667,1312.0054375,145
62976524,62976669,1312.0109166666666,1312.0139375,145
63003566,63003828,1312.5742916666666,1312.57975,262
63015908,63016053,1312.8314166666667,1312.8344375,145
63055036,63055181,1313.6465833333334,1313.6496041666667,145
63616526,63616813,1325.3442916666668,1325.3502708333333,287
63616924,63617191,1325.3525833333333,1325.3581458333333,267
63617337,63617489,1325.3611875,1325.3643541666668,152
63617729,63617875,1325.3693541666667,1325.3723958333333,146
63617929,63618074,1325.3735208333333,1325.3765416666668,145
63623827,63623972,1325.4963958333333,1325.4994166666668,145
63624284,63624429,1325.5059166666667,1325.5089375,145
63627287,63627433,1325.5684791666667,1325.5715208333334,146
63634330,63634475,1325.7152083333333,1325.7182291666666,145
63634871,63635016,1325.7264791666666,1325.7295,145
63635221,63635366,1325.7337708333334,1325.7367916666667,145
63635647,63635792,1325.7426458333334,1325.7456666666667,145
63635883,63636029,1325.7475625,1325.7506041666666,146
63840740,63840885,1330.0154166666666,1330.0184375,145
64005793,64005938,1333.4540208333333,1333.4570416666666,145
64012403,64012548,1333.5917291666667,1333.59475,145
64013003,64013185,1333.6042291666668,1333.6080208333333,182
64066420,64066679,1334.7170833333332,1334.7224791666667,259
64066731,64066990,1334.7235625,1334.7289583333334,259
64110799,64110944,1335.6416458333333,1335.6446666666666,145
64113314,64113459,1335.6940416666666,1335.6970625,145
64116429,64116574,1335.7589375,1335.7619583333333,145
64118830,64118975,1335.8089583333333,1335.8119791666666,145
64119018,64119163,1335.812875,1335.8158958333333,145
64119301,64119446,1335.8187708333332,1335.8217916666667,145
64121207,64121352,1335.8584791666667,1335.8615,145
64122117,64122263,1335.8774375,1335.8804791666666,146
64124144,64124290,1335.9196666666667,1335.9227083333333,146
64129438,64129716,1336.0299583333333,1336.03575,278
64130428,64130573,1336.0505833333334,1336.0536041666667,145
64137490,64137635,1336.1977083333334,1336.2007291666666,145
64137737,64137882,1336.2028541666666,1336.205875,145
